,COUNTY,FDI Sum,FDI Mean,FDI Median,FDI Max,FDI Min,# CDPs
10,ALAMEDA,44.0,2.2,2.0,4.0,2.0,20.0
21,CONTRA COSTA,103.0,2.019607843137255,2.0,3.0,2.0,51.0
32,DEL NORTE,20.0,2.857142857142857,2.0,6.0,2.0,7.0
43,HUMBOLDT,83.0,2.2432432432432434,2.0,5.0,2.0,37.0
53,KERN,2.0,2.0,2.0,2.0,2.0,1.0
64,LOS ANGELES,287.0,2.05,2.0,5.0,2.0,140.0
75,MARIN,69.0,2.225806451612903,2.0,4.0,2.0,31.0
86,MENDOCINO,55.0,2.391304347826087,2.0,6.0,2.0,23.0
97,MONTEREY,67.0,2.310344827586207,2.0,8.0,2.0,29.0
108,NAPA,22.0,2.0,2.0,2.0,2.0,11.0
119,ORANGE,86.0,2.097560975609756,2.0,4.0,2.0,41.0
129,RIVERSIDE,4.0,2.0,2.0,2.0,2.0,2.0
139,SAN BERNARDINO,6.0,2.0,2.0,2.0,2.0,3.0
150,SAN DIEGO,113.0,2.0925925925925926,2.0,5.0,2.0,54.0
161,SAN FRANCISCO,5.0,5.0,5.0,5.0,5.0,1.0
171,SAN JOAQUIN,4.0,2.0,2.0,2.0,2.0,2.0
183,SAN LUIS OBISPO,65.0,2.2413793103448274,2.0,6.0,2.0,29.0
194,SAN MATEO,67.0,2.161290322580645,2.0,6.0,2.0,31.0
205,SANTA BARBARA,55.0,2.1153846153846154,2.0,5.0,2.0,26.0
216,SANTA CLARA,51.0,2.04,2.0,3.0,2.0,25.0
227,SANTA CRUZ,59.0,2.107142857142857,2.0,5.0,2.0,28.0
238,SOLANO,23.0,2.090909090909091,2.0,3.0,2.0,11.0
249,SONOMA,78.0,2.1666666666666665,2.0,8.0,1.0,36.0
260,SUTTER,2.0,2.0,2.0,2.0,2.0,1.0
271,VENTURA,53.0,2.3043478260869565,2.0,5.0,2.0,23.0
281,YOLO,2.0,2.0,2.0,2.0,2.0,1.0
